,teamNumber,nameFull,nameShort,city,stateProv,country,rookieYear,robotName,districtCode,schoolName,website,homeCMP
70,156,GE & Fairview Hs,RPM  - Robotics Plus Mayhem ,Fairview,Pennsylvania,USA,1997,,,Fairview Hs,,CMPMO
71,157,Boston Scientific/Avidia Bank/Raytheon/Entwistle&Assabet Valley Voc Hs,AZTECHS,Marlborough,Massachusetts,USA,1992,,NE,Assabet Valley Voc Hs,,CMPMO
72,159,Nordson/AMD/GST/Wolf Robotics/Hewlett Packard/Advanced Energy/Metal Distributors/DGCD/Exponential Engineering/Ft Collins Plastics/Gulley Greenhouse/PHS Alpine Robotics&Poudre High School,Alpine Robotics,Fort Collins,Colorado,USA,1998,,,Poudre High School,,CMPTX
73,166,The Bull Family/BAE Systems/PTC/Raytheon/AAVID THERMALLOY&Merrimack High School,Chop Shop,Merrimack,New Hampshire,USA,1995,,NE,Merrimack High School,,CMPMO
74,167,Rockwell Collins/Aero Antenna Technology & Iowa City High School & West Senior High School,Children of the Corn,Iowa City,Iowa,USA,1998,,,West Senior High School & Iowa City High School,,CMPMO
75,171,John Deere/University of Wisconsin - Platteville & Platteville High,Cheese Curd Herd,Platteville,Wisconsin,USA,1995,,,Platteville High,,CMPMO
76,172,Lanco Assembly Systems/Adobe/IDEXX Laboratories/Robotics Institute of Maine/P&G Tambrands Inc./Texas Instruments & Falmouth High School & Gorham High School,Northern Force,Gorham,Maine,USA,1996,,NE,Falmouth High School & Gorham High School,,CMPMO
77,173,United Technologies/Stanley/CNC Software/United Way&Tolland High School&Ellington High School&Connecticut Ib Academy&East Hartford High School,RAGE Robotics,Tolland,Connecticut,USA,1995,,NE,East Hartford High School & Connecticut Ib Academy & Ellington High School & Tolland High School,,CMPMO
78,174,UTC Carrier/Lockheed Martin/Welch Allyn/SRC&Liverpool High School,Arctic Warriors,Liverpool,New York,USA,1998,,,Liverpool High School,,CMPMO
79,175,United Technologies Aerospace Systems - Space Systems/PTC & Enfield High School,Buzz Robotics,Enfield,Connecticut,USA,1996,,NE,Enfield High School,,CMPMO
80,176,UTC Aerospace Systems/Praxair & Windsor Locks High School & Suffield High School,Aces High,Windsor Locks,Connecticut,USA,1996,,NE,Windsor Locks High School & Suffield High School,,CMPMO
81,177,United Technologies & South Windsor High School,Bobcat Robotics,South Windsor,Connecticut,USA,1995,,NE,South Windsor High School,,CMPMO
82,178,UTC Otis Elevator/Parker Hannifin Corp. Fluid Control Div./Sikorsky/ebm-papst Inc.&Farmington High School,The 2nd Law Enforcers,Farmington,Connecticut,USA,1997,,NE,Farmington High School,,CMPMO
83,179,NASA/Propp Family Foundation/Canon/Aerojet Rocketdyne/Florida Turbine Technologies/FP&L/Lockheed Martin/EDF & Suncoast Community High School & Inlet Grove Community High School,Children of the Swamp,Riviera Beach,Florida,USA,1998,,,Suncoast Community High School & Inlet Grove Community High School,,CMPTX
84,180,Pratt & Whitney/Florida Power & Light/UL/ANJAC/Education Foundation of Martin County&South Fork High School&Clark Advanced Learning Center&Martin County High School&Jensen Beach High School,S.P.A.M.,Stuart,Florida,USA,1998,,,South Fork High School & Clark Advanced Learning Center & Martin County High School & Jensen Beach High School,,CMPTX
85,181,United Technologies/Pratt & Whitney/Stanley Black & Decker&Hphs Academy of Engineering and Green Technology&Pathways to Technology Magnet School,Birds Of Prey,Hartford,Connecticut,USA,1998,,NE,Hphs Academy of Engineering and Green Technology & Pathways to Technology Magnet School,,CMPMO
87,190,WPI & Ma Academy for Math and Science School,Gompei and the H.E.R.D.,Worcester,Massachusetts,USA,1992,,NE,Ma Academy for Math and Science School,,CMPMO
88,191,Xerox Corporation/Sikorsky · Lockheed Martin&Joseph C Wilson Magnet High School&Joseph C Wilson Foundation Academy,X-CATS,Rochester,New York,USA,1992,,,Joseph C Wilson Magnet High School & Joseph C Wilson Foundation Academy,,CMPMO
89,192,Robert Bosch LLC/SRI/Madco Welding Supply/Vander-Bend/Sentient Energy/GRT parents & alumni/Palo Alto Unified School District & Henry M Gunn HS,GRT,Palo Alto,California,USA,1997,,,Henry M Gunn HS,,CMPTX
90,193,Mt. Olive Board of Education/Mount Olive Robotics Education Association & Mt  Olive High,MORT Beta,Flanders,New Jersey,USA,1997,,MAR,Mt  Olive High,,CMPMO
91,195,"United Technologies / Tiger Enterprises / Construction Insight, Inc. / Mohawk Northeast / Saucier Mechanical Services / Pyramid Technologies / Ametek-Hayden Kerk Motion Solutions / Conveyco & Southington High School",CyberKnights,Southington,Connecticut,USA,1998,,NE,Southington High School,,CMPMO
92,199,Google/Pentair Thermal Management/Sequoia Union High School District/Oracle/Qualcomm/Brin Wojcicki Foundation/Intuitive Surgical/Abbott Fund/Bot Bash/Jameco Electronics/Solidworks/SRI International/Carlmont Academic Foundation/Carlmont PTSA&Carlmont High,Deep Blue,Belmont,California,USA,1998,,,Carlmont High,,CMPTX
93,201,General Motors Research and Development/The FCA Foundation/Gallagher-Kaiser Corporation/The State of Michigan/Rochester Community Schools Foundation/TARDEC - NDEP/Genisys Credit Union/DSM Engineered Plastics /Denek Contracting/Oakland University School of Engineering & Computer Science/Chet's Rent-All&Rochester High School,The FEDS,Rochester,Michigan,USA,1998,,FIM,Rochester High School,,CMPMO
94,203,Campbell's Soup & Camden Co Tech  Gloucester,One TUFF Team (Team United for FIRST),Sicklerville,New Jersey,USA,1998,,MAR,Camden Co Tech  Gloucester,,CMPMO
95,204,Eastern Regional High School Board of Education/Eastern Educational Foundation/Lockheed Martin/Renesas & Eastern High,Eastern Robotic Vikings,Voorhees,New Jersey,USA,1998,,MAR,Eastern High,,CMPMO
96,207,Walt Disney Imagineering / The Boeing Company /  Roddenberry Foundation / Space X / Northrop Grumman Aerospace Systems / Indusrtial Metal Supply  / Cooler Master & Hawthorne High,METALCRAFTERS,Hawthorne,California,USA,1999,,,Hawthorne High,,CMPTX
97,213,Symbotic/Timken/Smiths Medical&Keene High School,The Dirty Birds,Keene,New Hampshire,USA,1999,,NE,Keene High School,,CMPMO
98,216,Hepfer & Associates & Grandville High School,More RoboDawgs,Grandville,Michigan,USA,1999,,FIM,Grandville High School,,CMPMO
99,217,Ford Motor Company/Innovation First International&Joan C. Sergent Instructional Resource Center,ThunderChickens,Sterling Heights,Michigan,USA,1999,,FIM,Joan C. Sergent Instructional Resource Center,,CMPMO
100,219,Google/BASF/Picatinny DOTC-Stem&Warren Hills Reg High Sch,Team Impact,Washington,New Jersey,USA,1999,,MAR,Warren Hills Reg High Sch,,CMPMO
101,222,Guyette Communication/Procter and Gamble/Print to 3D/Northeast PA Industrial Resource Center & Tunkhannock Hs,Tigertrons,Tunkhannock,Pennsylvania,USA,1999,,MAR,Tunkhannock Hs,,CMPMO
102,223,Johnson & Johnson / Ajac Electric / Turner Pharmaceutical / Eagle Electric / Picatinny STEM  / Reno's Appliances / Teradata & Lakeland Reg H,Xtreme Heat,Wanaque,New Jersey,USA,1999,,MAR,Lakeland Reg H,,CMPMO
103,224,Mars International/ARDEC Picatinny - NDEP /L'Oreal USA/QTS Data Centers/F&A Machine&Piscataway Twp High,The Tribe,Piscataway,New Jersey,USA,1999,,MAR,Piscataway Twp High,,CMPMO
104,225,PRESIDIO/NRG/St. Onge Company/TE Connectivity/Coupling Corporation of America/York County Community Foundation/DLA Piper/ASGCO Complete Conveyor Solutions/Leidos/BAE Systems/DeWALT/Penn-Air & Hydraulics/Google&TechFire Robotics of York,TechFire,York,Pennsylvania,USA,1999,,MAR,TechFire Robotics of York,,CMPMO
105,226,General Motors ME Vehicle Systems/Delphi Foundation/Gallagher-Kaiser Corporation/Department of Defence: National Defense Education Program of TARDEC/Troy Foundation for Educational Excellence/Stanley&Troy High School&Athens High School,Hammerheads,Troy,Michigan,USA,1999,,FIM,Athens High School & Troy High School,,CMPMO
106,228,United Technologies/Trail of Terror/Meriden Public Schools/R&D Precision/Micro Insert Inc./Mnt View Power Eqiupment &Francis T. Maloney High School&Orville H. Platt High School&Mark T. Sheehan High School&Lyman Hall High School,GUS Robotics,Meriden,Connecticut,USA,1999,,NE,Lyman Hall High School & Mark T. Sheehan High School & Francis T. Maloney High School & Orville H. Platt High School,,CMPMO
107,229,Clarkson University/E/One/Lockheed Martin/North Country Collision/Stewart's Shops/Italian Affair/SeaComm Federal Credit Union/Massena Savings and Loan&Massena Senior High School,Division By Zero,Potsdam,New York,USA,1999,,,Massena Senior High School,,CMPMO
108,230,United Technologies/Sikorsky/OEM Controls/Pitney Bowes/Intuitive Surgical/Boeing & Shelton High School,Gaelhawks,Shelton,Connecticut,USA,1999,,NE,Shelton High School,,CMPMO
109,231,NASA/Texas Workforce Commisson/Oceaneering Space Systems/LyondellBasell/Chevron Phillips & Pasadena Independent School District,High Voltage,Pasadena,Texas,USA,1998,,,Pasadena Independent School District,,CMPTX
110,233,NASA/NASA Kennedy Space Center/BECHTEL/School Board of Brevard County/Boeing/PTC/Lockheed Martin/DRS/GDSO/Health 1st/Millennium Engineering/Rockledge Rotary/Craig Technologies/NASA Alumni Association/MEA/Cape Canaveral Technical Society & Rockledge Senior High School & Cocoa Beach Junior/Senior High School & Space Coast Junior/Senior High School & Viera High School,The Pink Team,MELBOURNE,Florida,USA,1999,,,Rockledge Senior High School & Cocoa Beach Junior/Senior High School & Space Coast Junior/Senior High School & Viera High School,,CMPTX
111,234,Allison Transmission/Rolls-Royce/Morris Machine/Dow AgriScience/Renaissance Electronic Services/Society of Women Engineers/Our Proud Grandmas/Indiana Space Grant&Perry Meridian High School,Cyber Blue,Indianapolis,Indiana,USA,1999,,IN,Perry Meridian High School,,CMPMO
112,236,Dominion Millstone Power Station/Lyme-Old Lyme Education Foundation (LOLEF)/Lyme-Old Lyme Public Schools/Brooks Associates Precision Machine Tools & Lyme-Old Lyme High School,Techno-Ticks,Old Lyme,Connecticut,USA,1999,,NE,Lyme-Old Lyme High School,,CMPMO
113,237,Siemon Company / United Technologies Corporation / TUV Rheinland / Trumpf / MacDermid Performance Solutions & Watertown High School,Black Magic Robotics,Watertown,Connecticut,USA,1999,,NE,Watertown High School,,CMPMO
