teamNumber,nameShort,location,latitude,longitude
271,Mechanical Marauders,"Bay Shore, New York",40.7250986,-73.2453946
272,Cyber-Crusaders,"Lansdale, Pennsylvania",40.2414952,-75.2837862
279,Tech Fusion,"Maumee, Ohio",41.5628294,-83.6538244
280,TnT,"Taylor, Michigan",42.240872,-83.2696509
281,281 EnTech GreenVillains,"nan, Greenville, South Carolina",34.7052618,-82.3477912
283,The Generals,"nan, Greenville, South Carolina",34.7052618,-82.3477912
287,Floyd,"Mastic Beach, New York",40.765722,-72.836722
288,The RoboDawgs,"Grandville, Michigan",42.909598,-85.7630956
291,CIA - Creativity In Action,"Erie, Pennsylvania",42.1294712,-80.0852695
292,PantherTech,"Russiaville, Indiana",40.4175374,-86.2713849
293,Team S.P.I.K.E.,"Pennington, New Jersey",40.3281213,-74.7909992
294,Beach Cities Robotics,"Redondo Beach, California",33.8455911,-118.3886766
295,Renevatio,"Granite Bay, California",38.7632346,-121.1638361
297,Dragons 2,"Lake Orion, Michigan",42.7844752,-83.2396612
302,The Dragons,"Lake Orion, Michigan",42.7844752,-83.2396612
303,T.E.S.T. Team,"Bridgewater, New Jersey",40.5598127,-74.5517146
304,GWHS Robo Griffins,"nan, Philadelphia, Pennsylvania",39.9553946,-75.1568023
306,CRT,"Corry, Pennsylvania",41.920334,-79.640329
308,The Monsters,"Walled Lake, Michigan",42.537811,-83.4810481
313,The Bionic Zebras,"Wayne, Michigan",42.2682408,-83.2844172
314,The Megatron Oracles,"Flint, Michigan",43.0161693,-83.6900211
316,LuNaTeCs,"Carneys Point, New Jersey",39.71082015,-75.46755083409386
319,Big Bad Bob,"Alton, New Hampshire",43.452919,-71.218185
321,RoboLancers,"nan, Philadelphia, Pennsylvania",39.9553946,-75.1568023
322,Team F.I.R.E.,"Flint, Michigan",43.0161693,-83.6900211
329,Raiders,"Medford, New York",40.8175985,-73.0001068
330,The Beach Bots,"Hermosa Beach, California",33.86428,-118.39591
333,MEGALODONS,"nan, Brooklyn, New York",40.6038604,-73.9966803
334,TechKnights,"nan, Brooklyn, New York",40.6038604,-73.9966803
335,Skillz Tech Gear Botz,"nan, Brooklyn, New York",40.6038604,-73.9966803
337,Hard Working Hard Hats,"Logan, West Virginia",37.8024603,-81.9284776
339,Kilroy Robotics,Virginia,37.1232245,-78.4927721
340,G.R.R. (Greater Rochester Robotics),"Churchville, New York",43.104228,-77.884454
341,Miss Daisy,"Ambler, Pennsylvania",40.1545535,-75.2215651
342,Burning Magnetos,"nan, North Charleston, South Carolina",32.87635635,-80.03230010261137
343,Metal-In-Motion,"nan, Seneca, South Carolina",34.696425,-82.936407
346,RoboHawks,"nan, Chesterfield, Virginia",34.7061948,-79.9040421
348,Norwell Robotics,"Norwell, Massachusetts",42.1617681,-70.7939307
352,The Green Machine,"Carle Place, New York",40.7526008,-73.6104058
353,POBots,"nan, Plainview, New York",40.7550963,-73.4763586
354,G-House Pirates,"nan, Brooklyn, New York",40.6038604,-73.9966803
357,Royal Assault,"Drexel Hill, Pennsylvania",39.9470567,-75.2921301
358,Robotic Eagles,"Hauppauge, New York",40.8256537,-73.2026138
359,Hawaiian Kids,"Waialua, Hawaii",21.571313,-158.12518450022145
360,The Revolution,"Tacoma, Washington",47.2495798,-122.439874
364,Team Fusion,"Gulfport, Mississippi",30.3674198,-89.0928155
365,Miracle Workerz,"Wilmington, Delaware",39.7459468,-75.546589
368,Team Kika Mana,"Honolulu, Hawaii",21.304547,-157.855676
369,High Voltage,"nan, Brooklyn, New York",40.6038604,-73.9966803
371,Cyber Warriors,"Staten Island, New York",40.5834557,-74.1496048
375,Robotic Plague,"Staten Island, New York",40.5834557,-74.1496048
378,The Circuit Stompers,"Newfane, New York",43.28243305,-78.70764889735142
379,RoboCats,"Girard, Ohio",41.153947,-80.701466
384,Sparky 384,"Richmond, Virginia",37.5385087,-77.43428
386,Team Voltage,"Melbourne, Florida",28.106471,-80.6371513
388,Maximum Oz,"Grundy, Virginia",37.2778886,-82.0990223
395,2 TrainRobotics,"Bronx, New York",40.8466508,-73.8785937
399,Eagle Robotics,"Lancaster, California",34.6981064,-118.1366153
401,Hokie Guard,"Christiansburg, Virginia",37.1298517,-80.4089389
418,Purple Haze,"Austin, Texas",30.2711286,-97.7436995
421,The Warriors,"Bronx, New York",40.8466508,-73.8785937
422,The Mech Tech Dragons,"Richmond, Virginia",37.5385087,-77.43428
423,Simple Machines,"Wyncote, Pennsylvania",40.0906988,-75.14588569222737
433,Firebirds,"Flourtown, Pennsylvania",40.1034436,-75.2123995
435,Robodogs,"Raleigh, North Carolina",35.7803977,-78.6390989
441,DEVIL DOGS,"nan, Houston, Texas",29.825009,-95.478675
442,Redstone Robotics,"Huntsville, Alabama",34.729847,-86.5859011
447,Team Roboto,"Anderson, Indiana",40.1053196,-85.6802541
449,The Blair Robot Project,"Silver Spring, Maryland",38.9997621,-77.02403709829767
451,The Cat Attack,"Holland, Ohio",41.621718,-83.711604
453,Rockem Sockem Robotics,"Clinton Township, Michigan",42.5869782,-82.9200047
