,teamNumber,location,latitude,longitude
2782,6908,"Cary, North Carolina",35.7882893,-78.7812081
2783,6910,"Mill Creek , Hoschton, Georgia",34.0788283,-83.8791808
2784,6911,"Tappan Zee , Orangeburg, New York",41.0490834,-73.9540164
2785,6912,"Saint Paul, Minnesota",44.9497487,-93.0931028
2786,6913,"North Crawford High, Soldiers Grove, Wisconsin",43.360092050000006,-90.8079182
2787,6914,"Melvindale , Melvindale, Michigan",42.27769885,-83.18563567238297
2788,6915,"Oak Hills , Hesperia, California",34.3997225,-117.3406015
2789,6916,"Columbus, Ohio",39.9622601,-83.0007065
2790,6918,"Napa High, Napa, California",38.309971899999994,-122.29869580024075
2791,6919,"Albany, Georgia",31.5782062,-84.1556809
2792,6921,"Pennsauken, New Jersey",39.9562238,-75.0579502
2793,6922,"Nogales , Nogales, Arizona",31.3351071,-110.942208
2794,6923,"West Feliciana , Saint Francisville, Louisiana",30.810453350000003,-91.37641016776341
2795,6925,"Woodward Academy, College Park, Georgia",33.66243125,-84.44003162307854
2796,6926,"Clovis High, Clovis, California",36.817824900000005,-119.67852483108196
2797,6927,"Columbus, Ohio",39.9622601,-83.0007065
2798,6928,"Greeneville, Tennessee",36.1631575,-82.8309861
2799,6931,"Tucson Magnet , Tucson, Arizona",32.22643909999999,-110.96185075284797
2800,6932,"Sylva, North Carolina",35.3737111,-83.2259803
2801,6933,"Sharon, Vermont",43.784976,-72.454834
2802,6934,"Adolfo Camarillo High, Camarillo, California",34.216821,-119.0098719777651
2803,6935,"Ingram, Texas",30.073889,-99.2365616
2804,6936,"Beavercreek , Dayton, Ohio",39.7316591,-84.0658129
2805,6937,"Mccallie School, Chattanooga, Tennessee",35.027486800000005,-85.26318815038938
2806,6938,"Los Angeles, California",34.0536909,-118.242766
2807,6943,"Newark, New Jersey",40.735657,-74.1723667
2808,6944,"West Forsyth , Cumming, Georgia",34.204991050000004,-84.14761950516207
2809,6945,"Blairstown, New Jersey",40.9826981,-74.9605225
2810,6950,"West Central Valley , Stuart, Iowa",41.50483345,-94.29633024409162
2811,6951,"Porter, Texas",30.1024397,-95.2296553
2812,6954,"Dearborn, Michigan",42.3222599,-83.1763145
2813,6956,"Westfield , Westfield, Indiana",40.04974525,-86.15765801524854
2814,6957,"Henderson, Nevada",36.0301134,-114.9826194
2815,6958,"Michigan Mathematics and Science Academy, Warren, Michigan",42.4936975,-83.0838275
2816,6959,"Centralia , Centralia, Washington",46.7173909,-122.9529322
2817,6960,"John W. North High, Riverside, California",33.98120135,-117.3462617630498
2818,6961,"Chesnee High, Spartanburg, South Carolina",35.13491335,-81.86117817604409
2819,6962,"Khan Lab School, Mountain View, California",37.3965202,-122.0839951
2820,6963,"Remus, Michigan",43.5966952,-85.1447524
2821,6964,"Upper Arlington , Columbus, Ohio",40.0247592,-83.11743732346318
2822,6969,"Clarkstown South Senior , West Nyack, New York",41.1032042,-73.98012721295623
2823,6974,"Socorro, New Mexico",34.0572858,-106.8930799
2824,6976,"Central High, Kansas City, Missouri",39.066619700000004,-94.54180363459028
2825,6981,"Concord High, Concord, California",37.97906945,-121.98713770902327
2826,6993,"Lubbock , Texas",33.5634402,-101.8792389
2827,6995,"Escondido, California",33.1216751,-117.0814849
2828,7004,"Anne M Dorner Middle School & Ossining , Ossining, New York",41.1745039,-73.8598586
2829,7016,"Putnam Valley , Putnam Valley, New York",41.3358333,-73.8586111
2830,7017,"Mesa, Arizona",33.4151005,-111.8314552
2831,7019,"Minneapolis, Minnesota",44.9772995,-93.2654692
2832,7020,"Iron Mountain , Iron Mountain, Michigan",45.83603,-88.066408
2833,7021,"Arcadia, Wisconsin",44.2527212,-91.5014893
2834,7024,"Egg Harbor Township, New Jersey",39.3820672,-74.6171489
2835,7025,"Fountain Valley High, Fountain Valley, California",33.705788749999996,-117.96055933245209
2836,7026,"Pine Crest School, Fort Lauderdale, Florida",26.1234195,-80.1278226
2837,7027,"Parish, New York",43.406181,-76.125758
2838,7028,"Saint Michael, Minnesota",45.210202,-93.6648083
2839,7029,"Scotland , Laurinburg, North Carolina",34.7676605,-79.4792144
2840,7030,"Lake Placid, New York",44.279621,-73.979874
2841,7031,"Duanesburg , Delanson, New York",42.7486562,-74.18807940682561
2842,7032,"La Pine, Oregon",43.6703995,-121.503636
2843,7034,"West Linn , West Linn, Oregon",45.3385713,-122.649681
2844,7036,"Brooklyn, New York",40.6526006,-73.9497211
2845,7038,"Minneapolis, Minnesota",44.9772995,-93.2654692
2846,7041,"Carlton Secondary, Carlton, Minnesota",46.6653522,-92.42199463892192
2847,7042,"Polytechnic High, Long Beach, California",33.78692005,-118.18285257511612
2848,7043,"Rocky River , Rocky River, Ohio",41.4863235,-81.8341502
2849,7045,"Morris Catholic , Denville, New Jersey",40.9058094,-74.4901859
2850,7048,"South  & North  & Fargo Davies , Fargo, North Dakota",46.7887864,-96.8191821
2851,7051,"Sierra Vista High, Baldwin Park, California",34.0755648,-117.9797873
2852,7054,"Grand Rapids, Michigan",42.9632405,-85.6678639
2853,7055,"Bay , Bay Village, Ohio",41.484996,-81.9208434
2854,7056,"Fowlerville , Fowlerville, Michigan",42.663699300000005,-84.08753477380404
2855,7057,"Orange Cove High, Orange Cove, California",36.612307799999996,-119.32043920187708
2856,7059,"Prescott, Arizona",34.5399962,-112.468761
2857,7060,"Riverside Military Academy , Gainesville, Georgia",34.33258325,-83.83330407778632
2858,7063,"San Antonio, Texas",29.4246002,-98.4951405
2859,7064,"Leavenworth, Kansas",39.3113257,-94.922759
2860,7065,"Montgomery, Alabama",32.3669656,-86.3006485
2861,7066,"Conway, Arkansas",35.2521996,-92.6888936
2862,7068,"Saint Francis, Minnesota",45.7599653,-94.5850085
2863,7072,"Opelika, Alabama",32.65232605,-85.45560549441299
2864,7073,"Ottawa Hills , Grand Rapids, Michigan",42.9252036,-85.62919708603349
2865,7075,"Midland , Pleasant Plains, Arkansas",35.5880446,-91.7599041
2866,7076,"Westminster Schools of Augusta, Augusta, Georgia",33.48900915,-82.04261774295527
2867,7077,"Eldorado , Las Vegas, Nevada",36.279766800000004,-115.16213539586296
2868,7084,"Hillman, Michigan",45.059177,-83.901106
2869,7085,"Waccamaw High, Pawleys Island, South Carolina",33.4516333,-79.14533203507092
2870,7088,"Somerset H S, Somerset, Texas",30.182464,-95.519405
2871,7091,"Dallas, Texas",32.7762719,-96.7968559
2872,7093,"Austin, Texas",30.2711286,-97.7436995
2873,7094,"Our Lady Academy, Bay Saint Louis, Mississippi",30.3080894,-89.32926227199908
2874,7096,"Los Gatos, California",37.226611,-121.9746797
2875,7097,"Myrtle Beach, South Carolina",33.6956461,-78.8900409
2876,7101,"Genesee , Genesee, Michigan",43.1125262,-83.6177333
2877,7103,"Manitowoc, Wisconsin",44.0998341,-87.827992
2878,7104,"Benedictine Military School, Savannah, Georgia",32.010338950000005,-81.09285417745966
2879,7106,"Mulberry, Arkansas",35.5006417,-94.0515919
2880,7107,"Boca Raton, Florida",26.3586885,-80.0830984
2881,7109,"Clare , Clare, Michigan",43.81947,-84.768628
2882,7110,"Haddon Heights, New Jersey",39.8773356,-75.0646165
2883,7111,"Madison, Alabama",34.7736807,-86.5675095
2884,7115,"Yates H S, Houston, Texas",29.77838,-95.323866
2885,7117,"Desoto Sr. High, De Soto, Missouri",38.1341423,-90.5681785399282
2886,7118,"Shorecrest , Shoreline, Washington",47.741224200000005,-122.30460777527767
2707,7119,"Sunset , Dallas, Texas",32.746404999999996,-96.85435475925945
2888,7120,"Irma Lerma Rangel Young Women'S Leadership School, Dallas, Texas",32.7744935,-96.76089739352932
2889,7121,"Keller, Texas",32.9299655,-97.2271249
2890,7122,"Des Moines Central Campus , Des Moines, Iowa",41.5838599,-93.64169223324652
2891,7123,"Mt. Vernon/Enola , Mount Vernon, Arkansas",35.2261303,-92.1317176
